T cell,Dendritic cell,Monocyte,B cell,Macrophage
SON,FAM49B,COX4I1,ZFAND2A,FCGR2A
SIT1,PPIA,NAPSB,EVL,SON
BIN2,SUB1,EVI2A,RNASE6,DNASE2
ENO1,ATP5L,CPPED1,06.Sep,PILRA
CDKN1B,RPL22,PRELID1,CCL5,TMBIM6
SRSF7,GRN,NUP214,IGHG4,SUSD3
RPS21,ARPC5,PSMB9,CALM1,GGTA1P
CD79A,SYNGR2,FCGR3A,RPS17,RPS19
DENND2D,UBC,SH3BGRL,CFL1,SYNGR2
HSPD1,IFITM2,LRRC25,PIM2,GPN3
RPS26,TPM3,PSMB8,MEF2C,TMBIM4
PIK3IP1,RPS17,SPI1,IGHG1,ADGRG1
LINC00861,RPS21,CAPZB,01.Sep,ENTPD1
RPS2P46,IFNGR1,PTMA,HSPD1,HCK
SRP14,SLC25A5,PSMA7,TAGAP,RPL27A
CHCHD2,RPL9,NAGK,EVI2B,CST3
